"","Year","Date","Marine.Park","SectorRegion","Name","Reef","Site","Site_notes","Zone","Transect","Depth","Complexity","Total.Macroalgae","Total.HARD.CORAL","Gradient","Total","id","total","match","coral","simpD","shanH","FDis"
"107",2018,"18/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 5","Lorna Cay","Crest",2,2,3.5,20,6,"",100,"Lihou 5 Crest 2 2018",100,"yes",6,0.777777777777778,1.56071040904141,0.133004803571483
"108",2018,"18/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 5","Lorna Cay","Crest",3,3,3,29,4,"",100,"Lihou 5 Crest 3 2018",100,"yes",4,0.5,0.693147180559945,0.183942638672321
"109",2018,"19/04/18","Coral Sea","Central Coral Sea","Mike","Willis","Willis 1","","Slope",1,9,3.5,16,11,"",100,"Willis 1 Slope 1 2018",100,"yes",11,0.809917355371901,1.79865220625213,0.159553379741892
"110",2018,"19/04/18","Coral Sea","Central Coral Sea","Mike","Willis","Willis 1","","Slope",2,8,3,20,14,"",100,"Willis 1 Slope 2 2018",100,"yes",14,0.73469387755102,1.53672246943722,0.108254213652667
"111",2018,"19/04/18","Coral Sea","Central Coral Sea","Mike","Willis","Willis 1","","Slope",3,9,2,12,7,"",100,"Willis 1 Slope 3 2018",100,"yes",7,0.653061224489796,1.07899220787758,0.0999204128577179
"112",2018,"19/04/18","Coral Sea","Central Coral Sea","Mike","Willis","Willis 1","","Crest",1,3,3,22,18,"",100,"Willis 1 Crest 1 2018",100,"yes",18,0.67283950617284,1.21104401678012,0.145368837375215
"113",2018,"19/04/18","Coral Sea","Central Coral Sea","Mike","Willis","Willis 1","","Crest",2,3,3,17,20,"",100,"Willis 1 Crest 2 2018",100,"yes",20,0.755,1.58327550524587,0.126736707095759
"114",2018,"19/04/18","Coral Sea","Central Coral Sea","Mike","Willis","Willis 1","","Crest",3,3,3,13,14,"",100,"Willis 1 Crest 3 2018",100,"yes",14,0.540816326530612,1.02851376402485,0.121803936694398
"115",2018,"19/04/18","Coral Sea","Central Coral Sea","Mike","Willis","Willis 2","","Slope",1,9,4,50,17,"",100,"Willis 2 Slope 1 2018",100,"yes",17,0.71280276816609,1.37958240685937,0.165719631429605
"116",2018,"19/04/18","Coral Sea","Central Coral Sea","Mike","Willis","Willis 2","","Slope",2,9,4,20,17,"",100,"Willis 2 Slope 2 2018",100,"yes",17,0.726643598615917,1.43034983140969,0.187077971357359
"117",2018,"19/04/18","Coral Sea","Central Coral Sea","Mike","Willis","Willis 2","","Slope",3,9,3.5,32,19,"",100,"Willis 2 Slope 3 2018",100,"yes",19,0.742382271468144,1.60356810317052,0.182563728604093
"118",2018,"19/04/18","Coral Sea","Central Coral Sea","Mike","Willis","Willis 2","","Crest",1,3,3.5,17,33,"",100,"Willis 2 Crest 1 2018",100,"yes",33,0.787878787878788,1.7036036870769,0.175865429979686
"119",2018,"19/04/18","Coral Sea","Central Coral Sea","Mike","Willis","Willis 2","","Crest",2,3,4,12,29,"",100,"Willis 2 Crest 2 2018",100,"yes",29,0.720570749108205,1.40065383524533,0.162233503503443
"120",2018,"19/04/18","Coral Sea","Central Coral Sea","Mike","Willis","Willis 2","","Crest",3,2,4,18,28,"",100,"Willis 2 Crest 3 2018",100,"yes",28,0.752551020408163,1.45943261179148,0.166386522913499
