"","species","genus","raw_growth_form","domain","cat_growthrate","cat_corallitesize","cat_colonydiameter","cat_skeletaldensity","cat_colonyheight","cat_SA_vol","cat_spacesize","dat_corallite","Tropical.Australia","reproductive_mode","raw_colonydiam","raw_growth","dat_growth","dat_colonydiameter","link","Growth.form.typical","sa_vol2","log_growth","log_corallite","log_diameter","PC1","PC2","PC3","PC4","PCo1","PCo2","PCo3","PCo4","dim1","dim2","dim3","dim4","mclust","kclust","clust","gen"
"Goniopora lobata","Goniopora lobata","Goniopora","columnar","pacific",3,2,2,2,5,1,5,4.6,1,"spawner",NA,NA,14.6,83.3,"Goniopora","columnar",0.9,2.68102152871429,1.52605630349505,4.4224485491728,-0.717198415118465,1.96691629740227,0.443433976435247,-0.521426509248922,-0.082331809836511,-0.220196832157317,0.002336896008871,-0.130919449976674,0.082331809836511,-0.220196832157317,0.002336896008871,-0.130919449976674,6,9,9,"other"
"Goniopora minor","Goniopora minor","Goniopora","encrusting","pacific",1,2,1,3,1,2,1,2.5,1,"spawner",NA,NA,3.6,39.7,"Goniopora","encrusting",1,1.28093384546206,0.916290731874155,3.68135118769314,2.11185666503803,-1.00555723993145,0.370080080523659,0.848609114500843,0.199811883259408,0.0882839692151224,-0.0429146808591924,-0.0456104914730865,-0.199811883259408,0.0882839692151224,-0.0429146808591924,-0.0456104914730865,5,3,3,"other"
"Goniopora norfolkensis","Goniopora norfolkensis","Goniopora","encrusting","pacific",1,2,1,3,1,2,1,2.4,1,"spawner",NA,NA,3.6,39.7,"Goniopora","encrusting",1,1.28093384546206,0.8754687373539,3.68135118769314,2.10007347722166,-1.01343338994357,0.372068791600009,0.844989534155247,0.19893395978211,0.0885488830425096,-0.0429824538790268,-0.0457772951659671,-0.19893395978211,0.0885488830425096,-0.0429824538790268,-0.0457772951659671,5,3,3,"other"
"Goniopora paliformis","Goniopora paliformis","Goniopora","massive","pacific",2,2,2,2,4,1,1,2.7,1,"spawner",NA,NA,7.4,58,"Goniopora","massive",0.5,2.00148000021012,0.993251773010283,4.06044301054642,0.991931221152028,1.39142064376538,0.287932334762439,0.295520354650158,0.109741077113757,-0.114246925564616,-0.0635944509684103,-0.0045765288750571,-0.109741077113757,-0.114246925564616,-0.0635944509684103,-0.0045765288750571,8,2,2,"other"
"Goniopora palmensis","Goniopora palmensis","Goniopora","submassive","pacific",2,2,2,2,3,1,1,2.4,1,"spawner",NA,NA,7.4,58,"Goniopora","massive",0.5,2.00148000021012,0.8754687373539,4.06044301054642,1.16611362601857,0.857401039004113,0.31976296593882,0.67361997689917,0.124304869171462,-0.042968835621874,-0.104714923371877,-0.025424120994482,-0.124304869171462,-0.042968835621874,-0.104714923371877,-0.025424120994482,7,2,2,"other"
"Goniopora pandoraensis","Goniopora pandoraensis","Goniopora","columnar","pacific",3,2,2,2,5,1,5,2.7,1,"spawner",NA,NA,14.6,83.3,"Goniopora","columnar",0.9,2.68102152871429,0.993251773010283,4.4224485491728,-0.870991386919436,1.86411758659569,0.469390431619684,-0.568668904659814,-0.0906892265034717,-0.213180792580505,0.00145792555414154,-0.130567463232425,0.0906892265034717,-0.213180792580505,0.00145792555414154,-0.130567463232425,6,9,9,"other"
"Goniopora pendulus","Goniopora pendulus","Goniopora","massive","pacific",2,2,2,2,4,1,1,5.6,1,"spawner",NA,NA,7.4,58,"Goniopora","massive",0.5,2.00148000021012,1.7227665977411,4.06044301054642,1.20250422954244,1.5321724189584,0.252392811783385,0.360204541506987,0.121911898391395,-0.120081045663201,-0.0656636870377882,-0.00100347766716225,-0.121911898391395,-0.120081045663201,-0.0656636870377882,-0.00100347766716225,8,2,2,"other"
"Goniopora planulata","Goniopora planulata","Goniopora","columnar","pacific",3,2,2,2,5,1,5,3.1,1,"spawner",NA,NA,14.6,83.3,"Goniopora","columnar",0.9,2.68102152871429,1.1314021114911,4.4224485491728,-0.831114565506255,1.89077215854612,0.462660209062775,-0.55641947256373,-0.0882885130978688,-0.214625164723844,0.00168297266257351,-0.130659955836664,0.0882885130978688,-0.214625164723844,0.00168297266257351,-0.130659955836664,6,9,9,"other"
"Goniopora somaliensis","Goniopora somaliensis","Goniopora","encrusting","pacific",1,2,4,3,1,2,1,3.1,1,"spawner",200,NA,3.6,200,"Goniopora","encrusting",1,1.28093384546206,1.1314021114911,5.29831736654804,1.5848040954781,-0.80603747991349,-1.34094399013844,1.2935887228446,0.182995359255455,0.0836370737070649,-0.0508629449743059,-0.00455762993637352,-0.182995359255455,0.0836370737070649,-0.0508629449743059,-0.00455762993637352,5,3,3,"other"
"Goniopora stokesi","Goniopora stokesi","Goniopora","columnar","pacific",3,2,1,2,5,1,5,4.7,1,"spawner",10,NA,14.6,10,"Goniopora","columnar",0.9,2.68102152871429,1.54756250871601,2.30258509299405,0.0613847256803826,1.76390413383736,2.67182205939307,-1.07788816854235,-0.0649521729492794,-0.246542765162885,0.00294283934408403,-0.211644178695753,0.0649521729492794,-0.246542765162885,0.00294283934408403,-0.211644178695753,6,9,9,"other"
"Goniopora tenella","Goniopora tenella","Goniopora","encrusting","pacific",1,2,1,3,1,2,1,2.9,1,"spawner",NA,NA,3.6,39.7,"Goniopora","encrusting",1,1.28093384546206,1.06471073699243,3.68135118769314,2.15469780537346,-0.976921249974342,0.362849554146901,0.861769131294065,0.202960923235064,0.0872268909078527,-0.0428200827558591,-0.0451797000689427,-0.202960923235064,0.0872268909078527,-0.0428200827558591,-0.0451797000689427,5,3,3,"other"
"Goniopora tenuidens","Goniopora tenuidens","Goniopora","massive","pacific",2,2,2,2,4,1,1,3.7,1,"spawner",NA,NA,7.4,58,"Goniopora","massive",0.5,2.00148000021012,1.30833281965018,4.06044301054642,1.08287874083025,1.45221202886246,0.272582639707983,0.323457773609972,0.115176113505056,-0.116336032150381,-0.0639136848492735,-0.00359683478116465,-0.115176113505056,-0.116336032150381,-0.0639136848492735,-0.00359683478116465,8,2,2,"other"
"Halomitra clavator","Halomitra clavator","Halomitra","massive","pacific",2,2,1,3,4,1,1,5.3,1,"spawner",NA,NA,6.5,24.2,"Halomitra","massive",0.5,1.87180217690159,1.66770682055808,3.18635263316264,1.84885132860854,0.940004165114227,0.81794894042592,-0.639695449167155,0.177533867327795,-0.103511782603589,0.0229515939133181,0.0051317321092222,-0.177533867327795,-0.103511782603589,0.0229515939133181,0.0051317321092222,8,2,2,"other"
"Halomitra pileus","Halomitra pileus","Halomitra","massive","pacific",2,2,2,3,4,1,1,4.8,1,"spawner",60,NA,6.5,60,"Halomitra","massive",0.5,1.87180217690159,1.56861591791385,4.0943445622221,1.48942072007005,1.00961828479408,-0.132148255610326,-0.409317997016095,0.156666489369635,-0.095358764841022,0.0236400401908226,0.0160105436208755,-0.156666489369635,-0.095358764841022,0.0236400401908226,0.0160105436208755,8,2,2,"other"
"Heliofungia actiniformis","Heliofungia actiniformis","Heliofungia","massive","pacific",2,5,1,3,4,1,1,142,1,"MIXED",20,5.8,5.8,20,"Fungiidae","massive",0.5,1.75785791755237,4.95582705760126,2.99573227355399,2.92510144161318,1.56233397242082,0.842043724173313,-0.375507331867601,0.236097879029426,-0.137247996217229,0.0166552801375491,0.0173889305754095,-0.236097879029426,-0.137247996217229,0.0166552801375491,0.0173889305754095,8,2,2,"other"
"Heliofungia fralinae","Heliofungia fralinae","Heliofungia","massive","pacific",2,5,1,3,4,1,1,90,1,NA,NA,NA,6.5,24.2,"Fungiidae","massive",0.5,1.87180217690159,4.49980967033027,3.18635263316264,2.66633220347305,1.48642692462668,0.679978359299396,-0.388580237080798,0.222156315036807,-0.129702718155524,0.0179645019325033,0.0165981068749076,-0.222156315036807,-0.129702718155524,0.0179645019325033,0.0165981068749076,8,2,2,"other"
"Homophyllia australis","Homophyllia australis","Homophyllia","solitary_attached","pacific",1,5,1,4,1,1,1,75,1,"spawner",4.3,NA,NA,4.3,"Homophyllia","massive",0.5,NA,4.31748811353631,1.45861502269952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Homophyllia bowerbanki","Homophyllia bowerbanki","Homophyllia","massive","pacific",1,5,3,4,4,1,1,25,1,"spawner",175,NA,NA,175,"Homophyllia","massive",0.5,NA,3.2188758248682,5.16478597392351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Hydnophora exesa","Hydnophora exesa","Hydnophora","submassive","pacific",2,2,2,3,3,1,1,4.5,1,"spawner",100,NA,6.4,100,"Hydnophora","massive",0.5,1.85629799036563,1.50407739677627,4.60517018598809,1.50070145756927,0.536683027214497,-0.642344143629063,0.111162211341116,0.1628035340881,-0.0241317252047236,-0.0222956672240177,0.00687285018258206,-0.1628035340881,-0.0241317252047236,-0.0222956672240177,0.00687285018258206,7,2,2,"other"
"Hydnophora grandis","Hydnophora grandis","Hydnophora","encrusting_long_uprights","pacific",3,2,3,3,2,3,2,4.7,1,"spawner",NA,NA,12.6,135.4,"Hydnophora","encrusting",1,2.53369681395743,1.54756250871601,4.90823336047817,0.446489791900945,-0.682376371071476,-0.634315751263036,0.619748233426443,0.0382806068170894,0.0974784076073615,-0.015530798870558,0.0159557935197816,-0.0382806068170894,0.0974784076073615,-0.015530798870558,0.0159557935197816,9,6,6,"other"
"Hydnophora microconos","Hydnophora microconos","Hydnophora","massive","pacific",2,3,3,2,4,1,1,7.2,1,"spawner",NA,8.9,9.8,118,"Hydnophora","massive",0.5,2.28238238567653,1.97408102602201,4.77068462446567,0.874052269141713,1.6339166284837,-0.466885212066619,0.513237835930605,0.104955448353217,-0.120884262793056,-0.0681261525794594,0.0230885430458952,-0.104955448353217,-0.120884262793056,-0.0681261525794594,0.0230885430458952,8,2,2,"other"
"Hydnophora pilosa","Hydnophora pilosa","Hydnophora","columnar","pacific",3,3,3,3,5,1,5,8,1,"spawner",NA,NA,12.6,135.4,"Hydnophora","columnar",0.9,2.53369681395743,2.07944154167984,4.90823336047817,-0.381763123993363,1.62604788352713,-0.453323991466968,-1.10564980703258,-0.0384186683136936,-0.204441575476187,0.10120034572776,-0.108307812044795,0.0384186683136936,-0.204441575476187,0.10120034572776,-0.108307812044795,6,9,9,"other"
"Hydnophora rigida","Hydnophora rigida","Hydnophora","branching_closed","pacific",5,3,4,2,4,3,4,6.7,1,"spawner",NA,71,71,341.8,"Hydnophora","branching_closed",2.025,4.26267987704132,1.90210752639692,5.83422577068149,-1.94778455332512,0.885825768146966,-0.848110002345624,0.344726537313846,-0.15727430131053,-0.0934554046451809,-0.0301859853518008,0.0637426251671539,0.15727430131053,-0.0934554046451809,-0.0301859853518008,0.0637426251671539,4,4,4,"other"
"Indophyllia macassarensis","Indophyllia macassarensis","Indophyllia","massive","pacific",1,5,1,4,4,1,1,45,1,"spawner",4.5,NA,NA,4.5,"Other.Lobophyllidae","massive",0.5,NA,3.80666248977032,1.50407739677627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Isopora brueggemanni","Isopora brueggemanni","Isopora","branching_open","pacific",5,1,3,2,5,4,5,1.6,1,"brooder",NA,74.8,74.8,167.1,"Isopora","branching_open",2.025,4.31481788498043,0.470003629245736,5.11859243560135,-2.89312767382852,0.690106281168295,0.120319409358573,-0.337994448140578,-0.285944946688985,-0.0723343451909895,0.0164231600405062,-0.00463230542783138,0.285944946688985,-0.0723343451909895,0.0164231600405062,-0.00463230542783138,1,8,8,"other"
"Isopora crateriformis","Isopora crateriformis","Isopora","encrusting","pacific",2,1,2,4,1,2,1,0.8,1,"brooder",86.7,NA,6.3,86.7,"Isopora","encrusting",1,1.84054963339749,-0.22314355131421,4.4624538837865,1.49315229921605,-1.68482549956443,-0.654330976989823,0.0503183525682315,0.17954293771079,0.127320611357917,0.0306704398833698,-0.0165646136860436,-0.17954293771079,0.127320611357917,0.0306704398833698,-0.0165646136860436,5,3,3,"other"
"Isopora cuneata","Isopora cuneata","Isopora","encrusting","pacific",2,1,1,4,1,2,1,1,1,"brooder",20,NA,6.3,20,"Isopora","encrusting",1,1.84054963339749,0,2.99573227355399,2.09196445300691,-1.78510634191324,0.877332309776161,-0.316228155017537,0.209083570729904,0.132771200650184,0.0365646211190575,-0.0453757846692022,-0.209083570729904,0.132771200650184,0.0365646211190575,-0.0453757846692022,5,3,3,"other"
"Isopora elizabethensis","Isopora elizabethensis","Isopora","branching_open","pacific",5,1,3,2,5,4,5,1.2,1,"brooder",NA,NA,58.7,146.7,"Isopora","branching_open",2.025,4.07243972683405,0.182321556793955,4.98838968514894,-2.80601530532942,0.635813932682701,0.236823543207836,-0.349195964345989,-0.283114346524141,-0.0671173740486199,0.0172453534057635,-0.00887611332396096,0.283114346524141,-0.0671173740486199,0.0172453534057635,-0.00887611332396096,1,8,8,"other"
"Isopora palifera","Isopora palifera","Isopora","branching_open","pacific",5,1,3,3,5,4,5,1.4,1,"brooder",NA,NA,58.7,146.7,"Isopora","branching_open",2.025,4.07243972683405,0.336472236621213,4.98838968514894,-2.48340968542252,0.161973702032013,-0.108655013791445,-1.12631484721621,-0.239127584346063,-0.0452853426817292,0.11058130486717,-0.00793754016531168,0.239127584346063,-0.0452853426817292,0.11058130486717,-0.00793754016531168,1,8,8,"other"
"Leptastrea aequalis","Leptastrea aequalis","Leptastrea","encrusting","pacific",1,2,1,3,1,2,1,2.8,1,NA,20,NA,3.2,20,"Leptastrea","encrusting",1,1.16315080980568,1.02961941718116,2.99573227355399,2.45400645412767,-1.04392068053072,1.06887881304876,0.701684645790901,0.218554191328979,0.0905760344465337,-0.0455334268161805,-0.0558696894575564,-0.218554191328979,0.0905760344465337,-0.0455334268161805,-0.0558696894575564,5,3,3,"other"
"Leptastrea bewickensis","Leptastrea bewickensis","Leptastrea","encrusting","pacific",1,2,2,3,1,2,1,4.2,1,NA,100,NA,3.2,100,"Leptastrea","encrusting",1,1.16315080980568,1.43508452528932,4.60517018598809,1.9846420461671,-0.808409977165394,-0.643501264358466,1.16155949235438,0.19422298242778,0.0845178603599104,-0.0475118167042587,-0.0208512753402962,-0.19422298242778,0.0845178603599104,-0.0475118167042587,-0.0208512753402962,5,3,3,"other"
"Leptastrea bottae","Leptastrea bottae","Leptastrea","encrusting","pacific",1,2,1,3,1,2,1,3.5,1,"spawner",NA,NA,3.2,16.5,"Leptastrea","encrusting",1,1.16315080980568,1.25276296849537,2.80336038090653,2.58850738446888,-1.01966696483856,1.26032329215105,0.670799764444543,0.226988908886581,0.0896927635443359,-0.0461590381976663,-0.0568728364098473,-0.226988908886581,0.0896927635443359,-0.0461590381976663,-0.0568728364098473,5,3,3,"other"
"Leptastrea inaequalis","Leptastrea inaequalis","Leptastrea","massive","pacific",2,2,1,2,4,1,1,4.1,1,NA,NA,NA,6.5,24.2,"Leptastrea","massive",0.5,1.87180217690159,1.41098697371026,3.18635263316264,1.49663932191493,1.39405481528101,1.16842432428148,0.128328891768627,0.137913614073682,-0.125925123690587,-0.0717113578718737,-0.0185239987952925,-0.137913614073682,-0.125925123690587,-0.0717113578718737,-0.0185239987952925,8,2,2,"other"
"Leptastrea pruinosa","Leptastrea pruinosa","Leptastrea","encrusting","pacific",1,2,1,3,1,2,1,3.6,1,NA,NA,NA,3.2,16.5,"Leptastrea","encrusting",1,1.16315080980568,1.28093384546206,2.80336038090653,2.59663885227567,-1.01423170731206,1.25895090122032,0.673297603018703,0.227605503037333,0.0895067241678093,-0.0461359168363016,-0.0566971781628967,-0.227605503037333,0.0895067241678093,-0.0461359168363016,-0.0566971781628967,5,3,3,"other"
"Leptastrea purpurea","Leptastrea purpurea","Leptastrea","encrusting","pacific",1,3,2,3,1,2,1,10,1,"spawner",100,1.8,1.8,100,"Leptastrea","encrusting",1,0.587786664902119,2.30258509299405,4.60517018598809,2.52634078861852,-0.60795218766952,-0.76752593956138,1.35385060546092,0.221853707923136,0.0859898145948478,-0.0533756531904254,-0.00890561161277049,-0.221853707923136,0.0859898145948478,-0.0533756531904254,-0.00890561161277049,5,3,3,"other"
"Leptastrea transversa","Leptastrea transversa","Leptastrea","encrusting","pacific",1,3,1,4,1,2,1,9.2,1,NA,NA,NA,3.2,16.5,"Leptastrea","encrusting",1,1.16315080980568,2.21920348405499,2.80336038090653,3.1455788556465,-1.33678490215852,0.87527269041188,-0.0342954860946904,0.27451323439863,0.125695820135358,0.042318847288016,-0.0260109539133404,-0.27451323439863,0.125695820135358,0.042318847288016,-0.0260109539133404,5,3,3,"other"
"Leptoria irregularis","Leptoria irregularis","Leptoria","encrusting","pacific",1,3,3,3,1,2,1,6.3,1,"spawner",150,NA,3.2,150,"Leptoria","encrusting",1,1.16315080980568,1.84054963339749,5.01063529409626,1.95394692816882,-0.690556318025116,-1.08967711697013,1.30430987624375,0.198187417776884,0.0804925641889044,-0.0509559319057296,-0.00372671283166654,-0.198187417776884,0.0804925641889044,-0.0509559319057296,-0.00372671283166654,5,3,3,"other"
"Leptoria phrygia","Leptoria phrygia","Leptoria","massive","pacific",2,2,2,3,4,1,1,3.5,1,"spawner",NA,NA,6.4,94.1,"Leptoria","massive",0.5,1.85629799036563,1.25276296849537,4.54435804659133,1.24213679506358,0.993546573869964,-0.592238159307691,-0.315682143261337,0.142843064073723,-0.0910657418418887,0.0199162517250043,0.0247788318051202,-0.142843064073723,-0.0910657418418887,0.0199162517250043,0.0247788318051202,8,2,2,"other"
"Leptoseris amitoriensis","Leptoseris amitoriensis","Leptoseris","laminar","pacific",3,2,2,5,2,4,2,3.7,1,"spawner",NA,NA,12.5,82.7,"Leptoseris","laminar",2.176,2.52572864430826,1.30833281965018,4.41521960202965,0.853888637740756,-2.13246589040193,-0.739437281878356,-0.97086046121271,0.0234301691117988,0.201166915957446,0.0730509837305544,0.0327251054026741,-0.0234301691117988,0.201166915957446,0.0730509837305544,0.0327251054026741,9,6,6,"other"
"Leptoseris explanata","Leptoseris explanata","Leptoseris","laminar","pacific",3,2,2,5,2,4,2,4,1,"spawner",NA,NA,12.5,82.7,"Leptoseris","laminar",2.176,2.52572864430826,1.38629436111989,4.41521960202965,0.876392082180131,-2.11742407769758,-0.743235307498421,-0.963947813593884,0.0249096435523203,0.200862397695448,0.0731944756481062,0.0334847580898966,-0.0249096435523203,0.200862397695448,0.0731944756481062,0.0334847580898966,9,6,6,"other"
"Leptoseris foliosa","Leptoseris foliosa","Leptoseris","laminar","pacific",3,1,2,5,2,4,2,1.4,1,"spawner",NA,NA,12.5,82.7,"Leptoseris","laminar",2.176,2.52572864430826,0.336472236621213,4.41521960202965,0.573363006503613,-2.31997558542688,-0.692091483887561,-1.0570328177164,0.0031475298325554,0.208955695967421,0.072772395348158,0.0320702018046053,-0.0031475298325554,0.208955695967421,0.072772395348158,0.0320702018046053,9,6,6,"other"
"Leptoseris gardineri","Leptoseris gardineri","Leptoseris","laminar","pacific",3,2,5,5,2,4,2,2.5,1,"spawner",866.7,NA,12.5,866.7,"Leptoseris","laminar",2.176,2.52572864430826,0.916290731874155,6.7646928961403,-0.115307638703657,-1.9785061130893,-3.19125209726249,-0.386774402455544,-0.000400521145696007,0.228831115639533,0.0812047028781198,0.0997838067335107,0.000400521145696007,0.228831115639533,0.0812047028781198,0.0997838067335107,9,6,6,"other"
"Leptoseris hawaiiensis","Leptoseris hawaiiensis","Leptoseris","encrusting","pacific",1,2,1,4,1,2,1,3.2,1,"spawner",NA,NA,3.1,39.5,"Leptoseris","encrusting",1,1.1314021114911,1.16315080980568,3.67630067190708,2.53876803462329,-1.45340576696414,0.00414717864754682,0.108364357365461,0.232785138290864,0.124683859333921,0.038938377588019,-0.0248181313432467,-0.232785138290864,0.124683859333921,0.038938377588019,-0.0248181313432467,5,3,3,"other"
"Leptoseris mycetoseroides","Leptoseris mycetoseroides","Leptoseris","laminar","pacific",3,2,3,5,2,4,2,4.4,1,"spawner",133.3,NA,12.5,133.3,"Leptoseris","laminar",2.176,2.52572864430826,1.48160454092422,4.89260222718466,0.729968104019604,-2.05238329609858,-1.24993626706067,-0.829755106454709,0.0173785398388368,0.20038518341507,0.071761375805036,0.0531168051801799,-0.0173785398388368,0.20038518341507,0.071761375805036,0.0531168051801799,9,6,6,"other"
"Leptoseris papyracea","Leptoseris papyracea","Leptoseris","laminar","pacific",3,2,2,5,2,4,2,4.4,1,"spawner",NA,NA,12.5,82.7,"Leptoseris","laminar",2.176,2.52572864430826,1.48160454092422,4.41521960202965,0.903903176692889,-2.09903503809667,-0.747878500769433,-0.955496907223207,0.0266651712910568,0.200581705571993,0.0733222991892972,0.0345432068308976,-0.0266651712910568,0.200581705571993,0.0733222991892972,0.0345432068308976,9,6,6,"other"
"Leptoseris scabra","Leptoseris scabra","Leptoseris","encrusting","pacific",1,3,1,4,1,2,1,6.3,1,"spawner",NA,NA,3.1,39.5,"Leptoseris","encrusting",1,1.1314021114911,1.84054963339749,3.67630067190708,2.73429786256953,-1.32270919480141,-0.0288534270165103,0.16842755361096,0.247933903484672,0.12178157148646,0.0401192746961876,-0.0177529723265538,-0.247933903484672,0.12178157148646,0.0401192746961876,-0.0177529723265538,5,3,3,"other"
"Leptoseris solida","Leptoseris solida","Leptoseris","encrusting","pacific",1,2,1,4,1,2,1,3.8,1,"spawner",NA,NA,3.1,39.5,"Leptoseris","encrusting",1,1.1314021114911,1.33500106673234,3.67630067190708,2.58837227070864,-1.42024917040186,-0.00422479125348291,0.123601873799126,0.2367270083172,0.123598764757401,0.0393853136691242,-0.0236631282126531,-0.2367270083172,0.123598764757401,0.0393853136691242,-0.0236631282126531,5,3,3,"other"
"Leptoseris striata","Leptoseris striata","Leptoseris","encrusting","pacific",1,2,1,5,1,2,1,4,1,"spawner",7.5,NA,3.1,7.5,"Leptoseris","encrusting",1,1.1314021114911,1.38629436111989,2.01490302054226,3.48662102651588,-2.07629302229301,1.40258014711661,-1.10024652399379,0.298882878844957,0.167914665507372,0.0821255840517959,-0.0255240880459376,-0.298882878844957,0.167914665507372,0.0821255840517959,-0.0255240880459376,5,3,3,"other"
"Leptoseris tubulifera","Leptoseris tubulifera","Leptoseris","encrusting","pacific",1,2,1,4,1,2,1,2.5,1,"spawner",NA,NA,3.1,39.5,"Leptoseris","encrusting",1,1.1314021114911,0.916290731874155,3.67630067190708,2.46751236236095,-1.50103467458226,0.0161733762172754,0.0864759147086496,0.227053010158528,0.126590743857916,0.0383329623825054,-0.0257114830794631,-0.227053010158528,0.126590743857916,0.0383329623825054,-0.0257114830794631,5,3,3,"other"
"Leptoseris yabei","Leptoseris yabei","Leptoseris","laminar","pacific",3,2,2,5,2,4,2,3.7,1,"spawner",100,NA,12.5,100,"Leptoseris","laminar",2.176,2.52572864430826,1.30833281965018,4.60517018598809,0.784679858693934,-2.11390315860511,-0.939206106428528,-0.920827788833385,0.0196092249200808,0.200633418784292,0.0709882043616963,0.0400564244922131,-0.0196092249200808,0.200633418784292,0.0709882043616963,0.0400564244922131,9,6,6,"other"
"Lithophyllon concinna","Lithophyllon concinna","Lithophyllon","massive","pacific",2,5,1,3,4,1,1,160,1,"spawner",16,NA,6.5,16,"Fungiidae","massive",0.5,1.87180217690159,5.07517381523383,2.77258872223978,2.98316542272844,1.55700237343018,1.08709924491018,-0.446548926822414,0.238815124635865,-0.140528581694526,0.0164763686832268,0.0168508495796273,-0.238815124635865,-0.140528581694526,0.0164763686832268,0.0168508495796273,8,2,2,"other"
"Lithophyllon repanda","Lithophyllon repanda","Lithophyllon","massive","pacific",2,5,1,3,4,1,1,150,1,"spawner",30,NA,6.5,30,"Fungiidae","massive",0.5,1.87180217690159,5.01063529409626,3.40119738166216,2.73550200231928,1.6059805389824,0.429142914487246,-0.286696899802648,0.224763564425738,-0.13234840227749,0.0172857091107255,0.0208276170420432,-0.224763564425738,-0.13234840227749,0.0172857091107255,0.0208276170420432,8,2,2,"other"
"Lithophyllon scabra","Lithophyllon scabra","Lithophyllon","massive","pacific",2,5,1,3,4,1,1,78,1,"spawner",NA,NA,6.5,24.2,"Fungiidae","massive",0.5,1.87180217690159,4.35670882668959,3.18635263316264,2.6250264285565,1.45881720774193,0.686949753914669,-0.401268617625825,0.220074340792087,-0.128296218046604,0.0182372512197642,0.0160559954791648,-0.220074340792087,-0.128296218046604,0.0182372512197642,0.0160559954791648,8,2,2,"other"
"Lithophyllon spinifer","Lithophyllon spinifer","Lithophyllon","massive","pacific",2,5,1,3,4,1,1,118,1,"spawner",12.5,NA,6.5,12.5,"Fungiidae","massive",0.5,1.87180217690159,4.77068462446567,2.52572864430826,2.98521905945374,1.47413041370616,1.36155281902295,-0.538569733186894,0.239020110833602,-0.140907908017018,0.0166612999245939,0.0153894334539572,-0.239020110833602,-0.140907908017018,0.0166612999245939,0.0153894334539572,8,2,2,"other"
"Lithophyllon undulatum","Lithophyllon undulatum","Lithophyllon","encrusting","pacific",1,2,1,4,1,2,1,5.1,1,"spawner",50,NA,3.2,50,"Fungiidae","encrusting",1,1.16315080980568,1.62924053973028,3.91202300542815,2.5713443374089,-1.34226874172082,-0.261953902483806,0.20541394781131,0.237329471043345,0.12056581525397,0.0393148616499784,-0.0160977936351526,-0.237329471043345,0.12056581525397,0.0393148616499784,-0.0160977936351526,5,3,3,"other"
"Lobactis scutaria","Lobactis scutaria","Lobactis","massive","pacific",2,5,1,3,4,1,1,169,1,"spawner",17,9.3,9.3,17,"Fungiidae","massive",0.5,2.23001440015921,5.12989871492307,2.83321334405622,2.7955166385093,1.5528883612974,1.07157928212446,-0.497556944591017,0.224933886000274,-0.137398392881594,0.020003351985115,0.0199423046022032,-0.224933886000274,-0.137398392881594,0.020003351985115,0.0199423046022032,8,2,2,"other"
"Lobophyllia corymbosa","Lobophyllia corymbosa","Lobophyllia","massive","pacific",1,5,3,4,4,1,1,47.5,1,"spawner",125,NA,NA,125,"Lobophyllia","massive",0.5,NA,3.8607297110406,4.8283137373023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Lobophyllia dentata","Lobophyllia dentata","Lobophyllia","massive","pacific",1,5,4,4,4,1,1,32.6,1,"spawner",200,NA,NA,200,"Lobophyllia","massive",0.5,NA,3.48431228837266,5.29831736654804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Lobophyllia diminuta","Lobophyllia diminuta","Lobophyllia","massive","pacific",1,5,1,4,4,1,1,42.5,1,"spawner",NA,NA,NA,NA,"Lobophyllia","massive",0.5,NA,3.74950407593037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Lobophyllia flabelliformis","Lobophyllia flabelliformis","Lobophyllia","massive","pacific",1,5,4,4,4,1,1,59.5,1,"spawner",200,NA,NA,200,"Lobophyllia","massive",0.5,NA,4.08597631255158,5.29831736654804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Lobophyllia hataii","Lobophyllia hataii","Lobophyllia","massive","pacific",1,5,1,4,4,1,1,30,1,"spawner",NA,NA,NA,NA,"Lobophyllia","massive",0.5,NA,3.40119738166216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Lobophyllia hemprichii","Lobophyllia hemprichii","Lobophyllia","massive","pacific",1,5,5,4,4,1,1,26.8,1,"spawner",500,NA,NA,500,"Lobophyllia","massive",0.5,NA,3.28840188751681,6.21460809842219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Lobophyllia robusta","Lobophyllia robusta","Lobophyllia","massive","pacific",1,5,3,4,4,1,1,47.5,1,"spawner",NA,NA,NA,NA,"Lobophyllia","massive",0.5,NA,3.8607297110406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
