"","species","genus","raw_growth_form","domain","cat_growthrate","cat_corallitesize","cat_colonydiameter","cat_skeletaldensity","cat_colonyheight","cat_SA_vol","cat_spacesize","dat_corallite","Tropical.Australia","reproductive_mode","raw_colonydiam","raw_growth","dat_growth","dat_colonydiameter","link","Growth.form.typical","sa_vol2","log_growth","log_corallite","log_diameter","PC1","PC2","PC3","PC4","PCo1","PCo2","PCo3","PCo4","dim1","dim2","dim3","dim4","mclust","kclust","clust","gen"
"Acropora papillare","Acropora papillare","Acropora","branching_open","pacific",5,1,3,2,5,4,5,1.6,1,"spawner",NA,NA,58.7,146.7,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,0.470003629245736,4.98838968514894,-2.72297644525072,0.691318990312938,0.222808634561757,-0.323687941343581,-0.277473334677169,-0.069738572800373,0.0165118239534927,-0.0087005619094873,0.277473334677169,-0.069738572800373,0.0165118239534927,-0.0087005619094873,1,8,8,"Acropora"
"Acropora parilis","Acropora parilis","Acropora","branching_closed","pacific",5,1,3,2,4,3,4,0.5,1,"spawner",NA,NA,58.7,146.7,"Acropora...other","branching_closed",2.025,4.07243972683405,-0.693147180559945,4.98838968514894,-2.29240290483766,0.31338046449166,0.140843773661567,-0.0700328244689023,-0.177916245336702,-0.068495582770741,-0.0232688826306796,0.0369645880711073,0.177916245336702,-0.068495582770741,-0.0232688826306796,0.0369645880711073,4,4,4,"Acropora"
"Acropora pectinatus","Acropora pectinatus","Acropora","branching_closed","pacific",5,1,2,2,4,3,4,0.7,1,"spawner",100,NA,58.7,100,"Acropora...other","branching_closed",2.025,4.07243972683405,-0.356674943938732,4.60517018598809,-2.05565426352497,0.340849297670874,0.527479470913523,-0.141138091958416,-0.166888020563973,-0.0652647374634655,-0.0218489525094211,0.0231046274101466,0.166888020563973,-0.0652647374634655,-0.0218489525094211,0.0231046274101466,4,4,4,"Acropora"
"Acropora pichoni","Acropora pichoni","Acropora","tables_or_plates","pacific",5,1,2,2,2,5,5,0.9,1,"spawner",100,NA,30.4,100,"Acropora...Tabular","tables_or_plates",1.242,3.41444260841218,-0.105360515657826,4.60517018598809,-2.05518791789591,-1.30223825742797,0.680435414251081,0.962366168520591,-0.235451225252515,0.13302565210407,-0.0445080432029869,-0.115549649559765,0.235451225252515,0.13302565210407,-0.0445080432029869,-0.115549649559765,3,5,5,"Acropora"
"Acropora pinguis","Acropora pinguis","Acropora","branching_open","pacific",5,1,4,2,5,4,5,1.1,1,"spawner",200,NA,58.7,200,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,0.0953101798043249,5.29831736654804,-2.94405358059866,0.649313429079133,-0.0848848988993633,-0.275276594265912,-0.291214688096055,-0.0681952300913986,0.0170386253913918,-0.000931318901190666,0.291214688096055,-0.0681952300913986,0.0170386253913918,-0.000931318901190666,1,8,8,"Acropora"
"Acropora plana","Acropora plana","Acropora","tables_or_plates","pacific",5,1,3,2,2,5,5,0.7,1,"spawner",NA,NA,30.4,103.2,"Acropora...Tabular","tables_or_plates",1.242,3.41444260841218,-0.356674943938732,4.63666885304746,-2.13920591596019,-1.34764840653169,0.659551830308372,0.948379467434151,-0.240062069868848,0.135474665743484,-0.0451048057995096,-0.114926126880804,0.240062069868848,0.135474665743484,-0.0451048057995096,-0.114926126880804,3,5,5,"Acropora"
"Acropora plumosa","Acropora plumosa","Acropora","tables_or_plates","pacific",5,1,3,2,2,5,5,1.2,1,"spawner",NA,NA,30.4,103.2,"Acropora...Tabular","tables_or_plates",1.242,3.41444260841218,0.182321556793955,4.63666885304746,-1.98362564421854,-1.2436550239038,0.633293723037573,0.99617088878249,-0.231354540097803,0.130086718103165,-0.0450001041743588,-0.114712143465629,0.231354540097803,0.130086718103165,-0.0450001041743588,-0.114712143465629,3,5,5,"Acropora"
"Acropora polystoma","Acropora polystoma","Acropora","corymbose","pacific",4,1,2,2,3,5,3,1.5,1,"spawner",80,NA,31.6,80,"Acropora...other","corymbose",4.05,3.45315712059287,0.405465108108164,4.38202663467388,-1.46481434543585,-0.698967499642673,0.623785861381118,0.769945946669814,-0.146749071281585,0.0750542288038338,-0.0857505820846651,0.0244596278532116,0.146749071281585,0.0750542288038338,-0.0857505820846651,0.0244596278532116,2,7,7,"Acropora"
"Acropora prostrata","Acropora prostrata","Acropora","corymbose","pacific",4,1,3,2,3,5,3,0.6,1,"spawner",NA,NA,31.6,105.3,"Acropora...other","corymbose",4.05,3.45315712059287,-0.510825623765991,4.65681341913993,-1.82941882471167,-0.848902344603663,0.379434410032216,0.761079213196698,-0.164105677263938,0.0818147114334766,-0.0901878848910143,0.040866583088263,0.164105677263938,0.0818147114334766,-0.0901878848910143,0.040866583088263,2,7,7,"Acropora"
"Acropora proximalis","Acropora proximalis","Acropora","branching_closed","pacific",5,1,3,2,4,3,4,0.6,1,"spawner",NA,NA,58.7,146.7,"Acropora...other","branching_closed",2.025,4.07243972683405,-0.510825623765991,4.98838968514894,-2.23977614879786,0.348557381950703,0.131961677043932,-0.0538668450427272,-0.175727172191552,-0.0674646102378277,-0.0227050452045327,0.0356628660620126,0.175727172191552,-0.0674646102378277,-0.0227050452045327,0.0356628660620126,4,4,4,"Acropora"
"Acropora pulchra","Acropora pulchra","Acropora","branching_open","pacific",5,1,5,4,5,4,5,1.2,1,"spawner",500,130.9,135.9,500,"Acropora...Staghorn","branching_open",2.025,4.9119193211571,0.182321556793955,6.21460809842219,-3.12158243354979,-0.299788602068789,-1.60941837945636,-1.77611864268728,-0.2893349669487,-0.00253833982729514,0.237367243788911,0.0376429347574093,0.2893349669487,-0.00253833982729514,0.237367243788911,0.0376429347574093,4,8,8,"Acropora"
