"","Year","Date","Marine.Park","SectorRegion","Name","Reef","Site","Site_notes","Zone","Transect","Depth","Complexity","Total.Macroalgae","Total.HARD.CORAL","Gradient","Total","id","variable","n","group","morph","acro","dim1","dim2","dim3","dim4","t","type","simpDx","morph8"
"102415",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Galaxea",0,"HC","Massive-columnar","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"Massive"
"105223",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Pavona",0,"HC","Massive-columnar","no",-0.0654443393924778,0.0198479615350563,0.0221971014315002,0.00194744347960258,"ii","high D",0.836565096952909,"Columnar"
"108031",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Coscinarea",0,"HC","Massive-columnar","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"Columnar"
"110839",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Psammocora",0,"HC","Massive-columnar","no",-0.0600891759544262,-0.0719212142509173,0.175306192059123,-0.063179821215691,"ii","high D",0.836565096952909,"Columnar"
"113647",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Pachyseris",0,"HC","Encrusting-foliose","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"Foliose"
"116455",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Turbinaria",1,"HC","Encrusting-foliose","no",-0.00292058014456572,0.0975100417830366,-0.106730622255791,0.0111431296279639,"ii","high D",0.836565096952909,"Foliose"
"119263",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Euphyllia",0,"HC","Encrusting-submassive","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"Encrusting"
"122071",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Physogyra",1,"HC","Encrusting-submassive","no",-0.180173889787317,-0.109520721193129,0.0147571930085642,0.04001649075012,"ii","high D",0.836565096952909,"Encrusting"
"124879",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Oulophyllia",0,"HC","Encrusting-submassive","no",-0.132842657941001,-0.153276401502432,-0.0977986435840669,0.0531246771872431,"ii","high D",0.836565096952909,"Encrusting"
"127687",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Mycedium",0,"HC","Encrusting-submassive","no",-0.0240667153975248,0.176838301127354,0.0480601262723803,0.0328882948010575,"ii","high D",0.836565096952909,"Encrusting"
