,species,genus,domain,cat_growthrate,cat_corallitesize,cat_colonydiameter,cat_skeletaldensity,cat_colonyheight,cat_SA_vol,cat_spacesize,dat_growth,dat_skeletal,dat_corallite,dat_colonydiameter,raw_growth,raw_skeldensity,raw_polypsize,raw_colonydiam,raw_growth_form,reproductive_mode,raw_reproductive_mode,species_keith,species_keith_updated,Andaman.Sea,Eastern.Pacific,Fiji.Caroline.Islands,Hawaii.Line.Islands,Indonesia.Philippines,Japan.Vietnam,Northern.PNG...Solomon.Islands,Persian.Gulf,Polynesia,Red.Sea.Gulf.of.Aden,Subtropical.East.Africa,Subtropical.Eastern.Australia,Subtropical.Japan,Subtropical.Western.Australia,Tonga.Samoa,Tropical.Australia,Western.Indian.Ocean,Caribbean,Brazil,East_Atlantic
496,Merulina scheeri,Merulina,pacific,3,3,1,2,3,4,3,15.2,1.4,8.2,30,NA,NA,8.2,30,digitate,spawner,NA,Merulina scheeri,Merulina scheeri,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497,Merulina triangularis,Merulina,pacific,4,3,4,2,4,3,4,29.2,1.3,8.8,266.7,NA,NA,8.8,266.7,branching_closed,spawner,spawner,Paraclavarina triangularis,Merulina triangularis,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
498,Micromussa amakusensis,Micromussa,pacific,1,3,1,4,1,2,1,NA,NA,11.5,NA,NA,NA,11.5,NA,encrusting,spawner,spawner,Micromussa amakusensis,Micromussa amakusensis,NA,NA,1,NA,1,1,1,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,NA
499,Micromussa diminuta,Micromussa,pacific,1,2,1,4,4,1,1,NA,NA,4,30,NA,NA,4,30,massive,spawner,NA,Micromussa diminuta,Micromussa diminuta,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
500,Micromussa lordhowensis,Micromussa,pacific,1,4,1,4,4,1,1,NA,NA,13.5,NA,NA,NA,13.5,NA,massive,spawner,spawner,Micromussa lordhowensis,Micromussa lordhowensis,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,1,NA,NA,1,1,NA,NA,NA
501,Micromussa minuta,Micromussa,pacific,1,3,1,4,4,1,1,NA,NA,6.4,NA,NA,NA,6.4,NA,massive,spawner,NA,Micromussa minuta,Micromussa minuta,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
502,Micromussa multipunctata,Micromussa,pacific,1,3,1,4,1,2,1,NA,NA,9.3,30,NA,NA,9.3,30,encrusting,spawner,NA,Montastrea multipunctata,Micromussa multipunctata,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA
503,Montastrea cavernosa,Montastraea,atlantic,2,3,3,3,4,1,1,9.4,1.6,10,147.8,9.4,1.6,10,147.8,massive,spawner,NA,Montastrea cavernosa,Montastrea cavernosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
504,Montigyra kenti,Montigyra,pacific,1,5,1,3,4,1,1,NA,NA,32,NA,NA,NA,32,NA,massive,NA,NA,Montigyra kenti,Montigyra kenti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
505,Montipora aequituberculata,Montipora,pacific,4,1,2,5,2,4,2,25.1,2.2,0.9,93.1,NA,NA,0.9,NA,laminar,spawner,spawner,Montipora aequituberculata,Montipora aequituberculata,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
506,Montipora altasepta,Montipora,pacific,5,1,3,2,5,4,5,58.7,1.4,0.8,146.7,NA,NA,0.8,NA,branching_open,spawner,spawner,Montipora altasepta,Montipora altasepta,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
507,Montipora angulata,Montipora,pacific,5,1,3,2,4,3,4,58.7,1.4,1.3,146.7,NA,NA,1.3,NA,branching_closed,spawner,NA,Montipora angulata,Montipora angulata,1,NA,1,NA,1,1,1,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,NA
508,Montipora aspergillus,Montipora,pacific,5,1,3,2,4,3,4,58.7,1.4,0.8,146.7,NA,NA,0.8,NA,branching_closed,spawner,NA,Montipora aspergillus,Montipora aspergillus,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
509,Montipora australiensis,Montipora,pacific,4,1,2,3,5,1,5,25.3,1.7,0.1,93.5,NA,NA,0.1,NA,columnar,spawner,NA,Montipora australiensis,Montipora australiensis,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,NA,1,1,1,1,NA,NA,NA
510,Montipora cactus,Montipora,pacific,4,1,2,3,2,3,2,25.3,1.8,1.2,93.5,NA,NA,1.2,NA,encrusting_long_uprights,spawner,spawner,Montipora cactus,Montipora cactus,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
511,Montipora calcarea,Montipora,pacific,4,1,3,3,3,4,3,30.5,1.5,0.9,103.3,NA,NA,0.9,NA,digitate,spawner,NA,Montipora calcarea,Montipora calcarea,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA
512,Montipora caliculata,Montipora,pacific,3,1,2,3,4,1,1,12.8,1.7,1,65,NA,NA,1,NA,massive,spawner,NA,Montipora caliculata,Montipora caliculata,1,NA,1,NA,1,1,1,NA,1,NA,NA,1,NA,1,1,1,NA,NA,NA,NA
513,Montipora capitata,Montipora,pacific,4,1,2,3,2,3,2,25.8,1.7,1,94.5,25.8,NA,1,NA,encrusting_long_uprights,spawner,spawner,Montipora capitata,Montipora capitata,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
514,Montipora capricornis,Montipora,pacific,4,1,2,5,2,4,2,25.1,2.2,1,93.1,NA,NA,1,NA,laminar,spawner,spawner,Montipora capricornis,Montipora capricornis,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA
515,Montipora cebuensis,Montipora,pacific,4,1,2,5,2,4,2,25.1,2.2,0.8,93.1,NA,NA,0.8,NA,laminar,spawner,NA,Montipora cebuensis,Montipora cebuensis,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
516,Montipora circumvallata,Montipora,pacific,4,1,3,3,3,4,3,30.5,1.5,0.6,103.3,NA,NA,0.6,NA,digitate,spawner,NA,Montipora circumvallata,Montipora circumvallata,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
517,Montipora cocosensis,Montipora,pacific,3,1,2,3,3,1,1,12.8,1.7,1.4,65,NA,NA,1.4,NA,submassive,spawner,NA,Montipora cocosensis,Montipora cocosensis,1,NA,1,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
518,Montipora confusa,Montipora,pacific,4,1,2,3,2,3,2,25.3,1.8,0.7,100,NA,NA,0.7,100,encrusting_long_uprights,spawner,NA,Montipora confusa,Montipora confusa,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
519,Montipora corbettensis,Montipora,pacific,4,1,3,3,3,4,3,30.5,1.5,0.8,103.3,NA,NA,0.8,NA,digitate,spawner,NA,Montipora corbettensis,Montipora corbettensis,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
520,Montipora crassituberculata,Montipora,pacific,4,1,2,5,2,4,2,25.1,2.3,1.5,93.1,NA,NA,1.5,NA,laminar,spawner,spawner,Montipora crassituberculata,Montipora crassituberculata,1,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA
521,Montipora cryptus,Montipora,pacific,2,1,1,4,1,2,1,6.3,2,0.7,44.5,NA,NA,0.7,NA,encrusting,spawner,NA,Montipora cryptus,Montipora cryptus,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
522,Montipora danae,Montipora,pacific,4,1,2,5,2,4,2,25.1,2.3,1.4,93.1,NA,NA,1.4,NA,laminar,spawner,spawner,Montipora danae,Montipora danae,NA,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA
523,Montipora delicatula,Montipora,pacific,4,1,2,5,2,4,2,25.1,2.2,0.6,93.1,NA,NA,0.6,NA,laminar,spawner,NA,Montipora delicatula,Montipora delicatula,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
524,Montipora digitata,Montipora,pacific,4,1,3,2,5,4,5,41.5,1.4,0.9,121.8,41.5,NA,0.9,NA,branching_open,spawner,spawner,Montipora digitata,Montipora digitata,1,NA,1,NA,1,1,1,1,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA
525,Montipora dilatata,Montipora,pacific,4,1,1,3,3,4,3,30.5,1.5,1.2,30,NA,NA,1.2,30,digitate,spawner,spawner,Montipora dilatata,Montipora dilatata,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
526,Montipora echinata,Montipora,pacific,5,1,3,2,4,3,4,58.7,1.4,0.8,146.7,NA,NA,0.8,NA,branching_closed,spawner,NA,Montipora echinata,Montipora echinata,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
527,Montipora edwardsi,Montipora,pacific,4,1,2,3,5,1,5,25.3,1.7,0.8,93.5,NA,NA,NA,NA,columnar,spawner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
528,Montipora efflorescens,Montipora,pacific,3,1,2,3,4,1,1,12.8,1.6,1.2,65,NA,NA,1.2,NA,massive,spawner,spawner,Montipora efflorescens,Montipora efflorescens,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
529,Montipora effusa,Montipora,pacific,3,1,2,3,3,1,1,12.8,1.6,0.8,65,NA,NA,0.8,NA,submassive,spawner,NA,Montipora effusa,Montipora effusa,1,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,NA,1,1,1,NA,NA,NA
530,Montipora flabellata,Montipora,pacific,4,1,1,5,2,4,2,25.1,2.2,0.5,50,NA,NA,0.5,50,laminar,spawner,spawner,Montipora flabellata,Montipora flabellata,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
531,Montipora florida,Montipora,pacific,4,1,2,5,2,4,2,25.1,2.2,0.8,93.1,NA,NA,0.8,NA,laminar,spawner,NA,Montipora florida,Montipora florida,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
532,Montipora floweri,Montipora,pacific,3,1,2,3,3,1,1,12.8,1.7,0.9,65,NA,NA,0.9,NA,submassive,spawner,NA,Montipora floweri,Montipora floweri,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA
533,Montipora foliosa,Montipora,pacific,4,1,3,5,2,4,2,32.5,2.2,0.9,106.9,32.5,NA,0.9,NA,laminar,spawner,spawner,Montipora foliosa,Montipora foliosa,1,NA,1,NA,1,1,1,1,1,1,NA,1,NA,1,1,1,1,NA,NA,NA
534,Montipora foveolata,Montipora,pacific,3,2,2,3,4,1,1,12.8,1.7,2.9,65,NA,NA,2.9,NA,massive,spawner,spawner,Montipora foveolata,Montipora foveolata,1,NA,1,NA,1,1,1,NA,1,NA,NA,1,NA,1,1,1,1,NA,NA,NA
535,Montipora friabilis,Montipora,pacific,4,1,2,5,2,4,2,25.1,2.2,1,93.1,NA,NA,1,NA,laminar,spawner,NA,Montipora friabilis,Montipora friabilis,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA
536,Montipora gaimardi,Montipora,pacific,4,1,2,3,2,3,2,25.3,1.7,0.8,93.5,NA,NA,0.8,NA,encrusting_long_uprights,spawner,NA,Montipora gaimardi,Montipora gaimardi,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
537,Montipora grisea,Montipora,pacific,3,1,2,3,4,1,1,12.8,1.7,1.2,65,NA,NA,1.2,NA,massive,spawner,spawner,Montipora grisea,Montipora grisea,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,NA,1,1,1,1,NA,NA,NA
538,Montipora hemispherica,Montipora,pacific,4,1,4,3,3,4,3,30.5,1.6,0.9,200,NA,NA,0.9,200,digitate,spawner,NA,Montipora hemispherica,Montipora hemispherica,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
539,Montipora hirsuta,Montipora,pacific,5,1,3,2,5,4,5,58.7,1.3,0.5,146.7,NA,NA,0.5,NA,branching_open,spawner,NA,Montipora hirsuta,Montipora hirsuta,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
540,Montipora hispida,Montipora,pacific,4,1,2,3,2,3,2,25.3,1.8,1.4,93.5,NA,NA,1.4,NA,encrusting_long_uprights,spawner,spawner,Montipora hispida,Montipora hispida,1,NA,1,1,1,1,1,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
541,Montipora hodgsoni,Montipora,pacific,4,1,2,5,2,4,2,25.1,2.2,0.6,93.1,NA,NA,0.6,NA,laminar,spawner,NA,Montipora hodgsoni,Montipora hodgsoni,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
542,Montipora hoffmeisteri,Montipora,pacific,2,1,1,4,1,2,1,6.3,2,1.1,44.5,NA,NA,1.1,NA,encrusting,spawner,spawner,Montipora hoffmeisteri,Montipora hoffmeisteri,NA,NA,1,NA,1,1,1,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA
543,Montipora incrassata,Montipora,pacific,2,1,1,4,1,2,1,6.3,2,1.4,44.5,NA,NA,1.4,NA,encrusting,spawner,NA,Montipora incrassata,Montipora incrassata,1,NA,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA
544,Montipora informis,Montipora,pacific,3,1,2,3,4,1,1,12.8,1.7,1.3,65,NA,NA,1.3,NA,massive,spawner,spawner,Montipora informis,Montipora informis,1,NA,1,NA,1,1,1,NA,1,1,1,NA,1,1,1,1,1,NA,NA,NA
545,Montipora kellyi,Montipora,pacific,5,1,3,2,4,3,4,58.7,1.4,0.9,146.7,NA,NA,0.9,NA,branching_closed,spawner,NA,Montipora kellyi,Montipora kellyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
546,Montipora lobulata,Montipora,pacific,3,1,2,3,3,1,1,12.8,1.7,1.3,65,NA,NA,1.3,NA,submassive,spawner,NA,Montipora lobulata,Montipora lobulata,NA,NA,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,1,1,1,NA,NA,NA
547,Montipora mactanensis,Montipora,pacific,4,1,3,3,3,4,3,30.5,1.6,0.9,103.3,NA,NA,0.9,NA,digitate,spawner,NA,Montipora mactanensis,Montipora mactanensis,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
548,Montipora malampaya,Montipora,pacific,4,1,3,3,3,4,3,30.5,1.5,0.7,103.3,NA,NA,0.7,NA,digitate,spawner,spawner,Montipora malampaya,Montipora malampaya,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
549,Montipora meandrina,Montipora,pacific,2,1,1,4,1,2,1,6.3,2,0.9,20,NA,NA,0.9,20,encrusting,spawner,NA,Montipora meandrina,Montipora meandrina,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
550,Montipora millepora,Montipora,pacific,2,1,1,4,1,2,1,6.3,1.9,0.6,44.5,NA,NA,0.6,NA,encrusting,spawner,NA,Montipora millepora,Montipora millepora,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,1,NA,1,1,1,NA,NA,NA
551,Montipora mollis,Montipora,pacific,3,1,2,3,4,1,1,12.8,1.6,0.9,65,NA,NA,0.9,NA,massive,spawner,spawner,Montipora mollis,Montipora mollis,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA
552,Montipora monasteriata,Montipora,pacific,4,1,2,5,2,4,2,25.1,2.2,1.1,93.1,NA,NA,1.1,NA,laminar,spawner,spawner,Montipora monasteriata,Montipora monasteriata,1,NA,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA
553,Montipora niugini,Montipora,pacific,4,1,1,3,3,4,3,30.5,1.5,0.7,30,NA,NA,0.7,30,digitate,spawner,NA,Montipora niugini,Montipora niugini,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
554,Montipora nodosa,Montipora,pacific,3,1,2,3,4,1,1,12.8,1.7,1.3,65,NA,NA,1.3,NA,massive,spawner,NA,Montipora nodosa,Montipora nodosa,NA,NA,1,1,1,1,1,NA,1,1,NA,1,NA,1,1,1,1,NA,NA,NA
555,Montipora orientalis,Montipora,pacific,4,1,2,3,5,1,5,25.3,1.8,1,93.5,NA,NA,1,NA,columnar,spawner,NA,Montipora orientalis,Montipora orientalis,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
556,Montipora pachytuberculata,Montipora,pacific,5,1,3,2,4,3,4,58.7,1.4,0.6,146.7,NA,NA,0.6,NA,branching_closed,spawner,NA,Montipora pachytuberculata,Montipora pachytuberculata,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
557,Montipora palawanensis,Montipora,pacific,4,1,4,5,2,4,2,25.1,2.3,0.7,200,NA,NA,0.7,200,laminar,spawner,NA,Montipora palawanensis,Montipora palawanensis,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
558,Montipora patula,Montipora,pacific,4,1,4,5,2,4,2,25.1,2.2,0.7,200,NA,NA,0.7,200,laminar,spawner,spawner,Montipora patula,Montipora patula,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
559,Montipora peltiformis,Montipora,pacific,3,1,2,3,3,1,1,12.8,1.7,0.9,65,NA,NA,0.9,NA,submassive,spawner,spawner,Montipora peltiformis,Montipora peltiformis,1,NA,1,1,1,1,1,NA,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA
560,Montipora porites,Montipora,pacific,4,1,2,3,2,3,2,25.3,1.7,0.9,93.5,NA,NA,0.9,NA,encrusting_long_uprights,spawner,NA,Montipora porites,Montipora porites,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
561,Montipora samarensis,Montipora,pacific,5,1,3,2,5,4,5,58.7,1.4,0.7,146.7,NA,NA,0.7,NA,branching_open,spawner,spawner,Montipora samarensis,Montipora samarensis,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
562,Montipora saudii,Montipora,pacific,4,1,2,3,2,3,2,25.3,1.7,0.8,100,NA,NA,0.8,100,encrusting_long_uprights,spawner,NA,Montipora saudii,Montipora saudii,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
563,Montipora setosa,Montipora,pacific,4,1,3,3,3,4,3,30.5,1.5,0.8,103.3,NA,NA,0.8,NA,digitate,spawner,NA,Montipora setosa,Montipora setosa,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
564,Montipora spongiosa,Montipora,pacific,5,1,3,2,4,3,4,58.7,1.4,0.8,146.7,NA,NA,0.8,NA,branching_closed,spawner,NA,Montipora spongiosa,Montipora spongiosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA
565,Montipora spongodes,Montipora,pacific,2,1,1,4,1,2,1,6.3,2,1.2,44.5,NA,NA,1.2,NA,encrusting,spawner,NA,Montipora spongodes,Montipora spongodes,1,NA,1,NA,1,1,1,NA,NA,1,NA,1,NA,1,1,1,1,NA,NA,NA
566,Montipora spumosa,Montipora,pacific,2,1,1,4,1,2,1,6.3,2,0.9,44.5,NA,NA,0.9,NA,encrusting,spawner,spawner,Montipora spumosa,Montipora spumosa,1,NA,1,NA,1,1,1,NA,1,1,NA,1,1,1,1,1,1,NA,NA,NA
567,Montipora stellata,Montipora,pacific,4,1,3,3,3,4,3,30.5,1.5,0.9,103.3,NA,NA,0.9,NA,digitate,spawner,spawner,Montipora stellata,Montipora stellata,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA
568,Montipora stilosa,Montipora,pacific,3,1,2,3,3,1,1,12.8,1.7,0.8,65,NA,NA,0.8,NA,submassive,spawner,NA,Montipora stilosa,Montipora stilosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
569,Montipora taiwanensis,Montipora,pacific,3,1,1,3,3,1,1,12.8,1.7,0.9,50,NA,NA,0.9,50,submassive,spawner,NA,Montipora taiwanensis,Montipora taiwanensis,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
570,Montipora tuberculosa,Montipora,pacific,3,1,2,3,4,1,1,12.8,1.6,1,65,NA,NA,1,NA,massive,spawner,spawner,Montipora tuberculosa,Montipora tuberculosa,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA
571,Montipora turgescens,Montipora,pacific,3,1,2,3,4,1,1,12.8,1.6,1,65,NA,NA,1,NA,massive,spawner,spawner,Montipora turgescens,Montipora turgescens,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA
572,Montipora turtlensis,Montipora,pacific,4,1,3,2,3,4,3,30.5,1.5,0.9,103.3,NA,NA,0.9,NA,digitate,spawner,spawner,Montipora turtlensis,Montipora turtlensis,1,NA,1,NA,1,1,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA
573,Montipora undata,Montipora,pacific,4,1,2,5,2,4,2,26,2.2,1.2,94.8,26,NA,1.2,NA,laminar,spawner,NA,Montipora undata,Montipora undata,1,NA,1,NA,1,1,1,NA,NA,NA,1,NA,1,NA,1,1,1,NA,NA,NA
574,Montipora venosa,Montipora,pacific,3,1,2,3,4,1,1,12.8,1.7,1.8,65,NA,NA,1.8,NA,massive,spawner,spawner,Montipora venosa,Montipora venosa,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA
575,Montipora verrilli,Montipora,pacific,3,1,2,4,1,2,1,17.2,2,0.8,76,17.2,NA,0.8,NA,encrusting,spawner,NA,Montipora verrilli,Montipora verrilli,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576,Montipora verrucosa,Montipora,pacific,4,1,3,5,2,4,2,28.7,2.2,1.4,100.1,27.7,NA,1.4,NA,laminar,spawner,spawner,Montipora verrucosa,Montipora verrucosa,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,NA,NA
577,Montipora verruculosa,Montipora,pacific,2,1,4,4,1,2,1,6.3,2,0.8,200,NA,NA,0.8,200,encrusting,spawner,NA,Montipora verruculosa,Montipora verruculosa,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
578,Montipora vietnamensis,Montipora,pacific,4,1,3,3,3,4,3,30.5,1.5,0.7,103.3,NA,NA,0.7,NA,digitate,spawner,NA,Montipora vietnamensis,Montipora vietnamensis,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
579,Moseleya latistellata,Moseleya,pacific,1,5,1,4,3,1,1,NA,NA,73,25,NA,NA,73,25,submassive,spawner,spawner,Moseleya latistellata,Moseleya latistellata,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
580,Mussa angulosa,Mussa,atlantic,2,5,1,3,4,1,1,6.2,NA,60,32.3,NA,NA,60,32.3,massive,NA,NA,Mussa angulosa,Mussa angulosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
581,Mussismilia braziliensis,Mussismilia,atlantic,2,4,1,3,4,1,1,8,NA,14.9,23.5,8,NA,14.9,NA,massive,spawner,spawner,Mussismilia braziliensis,Mussismilia braziliensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
582,Mussismilia harttii,Mussismilia,atlantic,2,4,2,3,4,1,1,6.2,NA,20,100,NA,NA,20,100,massive,spawner,spawner,Mussismilia harttii,Mussismilia harttii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
583,Mussismilia hispida,Mussismilia,atlantic,2,4,1,3,4,1,1,6.2,NA,20.5,50,NA,NA,20.5,50,massive,spawner,spawner,Mussismilia hispida,Mussismilia hispida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
584,Mycedium elephantotus,Mycedium,pacific,3,3,4,4,2,4,2,12.5,2.1,10,300,NA,NA,10,300,laminar,spawner,spawner,Mycedium elephantotus,Mycedium elephantotus,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA
585,Mycedium mancaoi,Mycedium,pacific,3,3,3,4,2,4,2,12.5,2.1,7.2,134.8,NA,NA,7.2,NA,laminar,spawner,NA,Mycedium mancaoi,Mycedium mancaoi,NA,NA,1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
586,Mycedium robokaki,Mycedium,pacific,3,3,3,4,2,4,2,12.5,2.1,7.2,134.8,NA,NA,7.2,NA,laminar,spawner,NA,Mycedium robokaki,Mycedium robokaki,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
587,Mycedium spina,Mycedium,NA,3,3,3,4,2,4,2,12.5,2,9.6,134.8,NA,NA,NA,NA,laminar,spawner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
588,Mycedium steeni,Mycedium,pacific,3,2,1,4,2,4,2,12.5,2.1,3.1,30,NA,NA,3.1,30,laminar,spawner,NA,Mycedium steeni,Mycedium steeni,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
