,species,genus,domain,cat_growthrate,cat_corallitesize,cat_colonydiameter,cat_skeletaldensity,cat_colonyheight,cat_SA_vol,cat_spacesize,dat_growth,dat_skeletal,dat_corallite,dat_colonydiameter,raw_growth,raw_skeldensity,raw_polypsize,raw_colonydiam,raw_growth_form,reproductive_mode,raw_reproductive_mode,species_keith,species_keith_updated,Andaman.Sea,Eastern.Pacific,Fiji.Caroline.Islands,Hawaii.Line.Islands,Indonesia.Philippines,Japan.Vietnam,Northern.PNG...Solomon.Islands,Persian.Gulf,Polynesia,Red.Sea.Gulf.of.Aden,Subtropical.East.Africa,Subtropical.Eastern.Australia,Subtropical.Japan,Subtropical.Western.Australia,Tonga.Samoa,Tropical.Australia,Western.Indian.Ocean,Caribbean,Brazil,East_Atlantic
356,Favites chinensis,Favites,pacific,2,4,2,3,4,1,1,6.4,1.5,12.5,94.1,NA,NA,12.5,NA,massive,spawner,spawner,Favites chinensis,Favites chinensis,1,NA,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA
357,Favites colemani,Favites,pacific,1,3,1,3,1,2,1,3.2,1.8,7.8,40,NA,NA,7.8,40,encrusting,spawner,NA,Montastrea colemani,Favites colemani,NA,NA,1,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
358,Favites complanata,Favites,pacific,2,4,2,3,4,1,1,6.4,1.6,18.8,94.1,NA,NA,18.8,NA,massive,spawner,spawner,Favites complanata,Favites complanata,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
359,Favites flexuosa,Favites,pacific,2,4,2,3,4,1,1,6.4,1.6,18.8,94.1,NA,NA,18.8,NA,massive,spawner,spawner,Favites flexuosa,Favites flexuosa,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA
360,Favites halicora,Favites,pacific,2,4,2,3,4,1,1,6.4,1.6,16.8,94.1,NA,NA,16.8,NA,massive,spawner,spawner,Favites halicora,Favites halicora,1,NA,1,NA,1,1,1,NA,NA,1,1,1,NA,1,1,1,1,NA,NA,NA
361,Favites magnistellata,Favites,pacific,2,4,4,3,4,1,1,6.4,1.6,12.1,200,NA,NA,12.1,200,massive,spawner,spawner,Montastrea magnistellata,Favites magnistellata,1,NA,1,NA,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA
362,Favites melicerum,Favites,pacific,2,3,2,3,3,1,1,6.4,1.5,8.1,94.1,NA,NA,8.1,NA,submassive,spawner,NA,Favites bestae,Favites melicerum,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
363,Favites micropentagonus,Favites,pacific,2,2,1,2,3,1,1,6.4,1.5,5.2,50,NA,NA,5.2,50,submassive,spawner,NA,Favites micropentagonus,Favites micropentagonus,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
364,Favites paraflexuosus,Favites,pacific,2,4,2,3,4,1,1,6.4,1.6,16.2,60,NA,NA,16.2,60,massive,spawner,NA,Favites paraflexuosus,Favites paraflexuosus,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
365,Favites pentagona,Favites,pacific,2,3,2,2,3,1,1,6.4,1.5,8.5,100,NA,NA,8.5,100,submassive,spawner,spawner,Favites pentagona,Favites pentagona,1,NA,1,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,1,NA,NA,NA
